DATE,CPHPTT01EZM661N
1990-01-01,57.9429726996967
1990-02-01,58.1565217391304
1990-03-01,58.2988877654196
1990-04-01,58.5124368048534
1990-05-01,58.6548028311426
1990-06-01,58.7259858442872
1990-07-01,58.7971688574317
1990-08-01,59.1530839231547
1990-09-01,59.5801820020222
1990-10-01,59.9360970677452
1990-11-01,59.9360970677452
1990-12-01,59.9360970677452
1991-01-01,60.2920121334682
1991-02-01,60.6479271991911
1991-03-01,60.7191102123357
1991-04-01,60.9326592517695
1991-05-01,61.1462082912032
1991-06-01,61.359757330637
1991-07-01,61.8580384226491
1991-08-01,61.9292214357937
1991-09-01,62.0004044489383
1991-10-01,62.2139534883721
1991-11-01,62.4986855409504
1991-12-01,62.569868554095
1992-01-01,62.7834175935288
1992-02-01,63.1393326592518
1992-03-01,63.3528816986855
1992-04-01,63.5664307381193
1992-05-01,63.7799797775531
1992-06-01,63.8511627906977
1992-07-01,63.9223458038423
1992-08-01,64.0647118301314
1992-09-01,64.135894843276
1992-10-01,64.2782608695652
1992-11-01,64.491809908999
1992-12-01,64.6341759352882
1993-01-01,64.9189079878665
1993-02-01,65.2748230535895
1993-03-01,65.5595551061678
1993-04-01,65.701921132457
1993-05-01,65.8442871587462
1993-06-01,65.9866531850354
1993-07-01,66.2002022244692
1993-08-01,66.2713852376137
1993-09-01,66.3425682507583
1993-10-01,66.4849342770475
1993-11-01,66.6273003033367
1993-12-01,66.6984833164813
1994-01-01,66.9832153690596
1994-02-01,67.267947421638
1994-03-01,67.4814964610718
1994-04-01,67.5526794742164
1994-05-01,67.7662285136502
1994-06-01,67.8374115267947
1994-07-01,67.9797775530839
1994-08-01,68.1221435793731
1994-09-01,68.1933265925177
1994-10-01,68.3356926188069
1994-11-01,68.3356926188069
1994-12-01,68.478058645096
1995-01-01,68.6916076845298
1995-02-01,68.9763397371082
1995-03-01,69.2610717896865
1995-04-01,69.4034378159757
1995-05-01,69.4746208291203
1995-06-01,69.6881698685541
1995-07-01,69.6881698685541
1995-08-01,69.7593528816987
1995-09-01,69.9729019211324
1995-10-01,69.9729019211324
1995-11-01,70.044084934277
1995-12-01,70.1864509605662
1996-01-01,70.4
1996-02-01,70.71
1996-03-01,71.01
1996-04-01,71.14
1996-05-01,71.32
1996-06-01,71.33
1996-07-01,71.31
1996-08-01,71.27
1996-09-01,71.44
1996-10-01,71.52
1996-11-01,71.53
1996-12-01,71.73
1997-01-01,71.95
1997-02-01,72.11
1997-03-01,72.2
1997-04-01,72.18
1997-05-01,72.38
1997-06-01,72.41
1997-07-01,72.46
1997-08-01,72.58
1997-09-01,72.65
1997-10-01,72.69
1997-11-01,72.79
1997-12-01,72.88
1998-01-01,72.82
1998-02-01,73.0
1998-03-01,73.1
1998-04-01,73.28
1998-05-01,73.43
1998-06-01,73.47
1998-07-01,73.47
1998-08-01,73.49
1998-09-01,73.47
1998-10-01,73.45
1998-11-01,73.45
1998-12-01,73.49
1999-01-01,73.44
1999-02-01,73.61
1999-03-01,73.85
1999-04-01,74.11
1999-05-01,74.16
1999-06-01,74.16
1999-07-01,74.26
1999-08-01,74.35
1999-09-01,74.43
1999-10-01,74.47
1999-11-01,74.57
1999-12-01,74.83
2000-01-01,74.86
2000-02-01,75.1
2000-03-01,75.37
2000-04-01,75.45
2000-05-01,75.54
2000-06-01,75.8
2000-07-01,75.87
2000-08-01,75.93
2000-09-01,76.26
2000-10-01,76.3
2000-11-01,76.46
2000-12-01,76.75
2001-01-01,76.43
2001-02-01,76.66
2001-03-01,77.07
2001-04-01,77.54
2001-05-01,77.9
2001-06-01,78.02
2001-07-01,77.84
2001-08-01,77.78
2001-09-01,77.99
2001-10-01,78.06
2001-11-01,78.01
2001-12-01,78.36
2002-01-01,78.45
2002-02-01,78.58
2002-03-01,79.02
2002-04-01,79.38
2002-05-01,79.52
2002-06-01,79.49
2002-07-01,79.41
2002-08-01,79.46
2002-09-01,79.66
2002-10-01,79.85
2002-11-01,79.79
2002-12-01,80.17
2003-01-01,80.14
2003-02-01,80.46
2003-03-01,80.93
2003-04-01,81.05
2003-05-01,81.0
2003-06-01,81.1
2003-07-01,80.98
2003-08-01,81.1
2003-09-01,81.39
2003-10-01,81.51
2003-11-01,81.54
2003-12-01,81.79
2004-01-01,81.61
2004-02-01,81.8
2004-03-01,82.32
2004-04-01,82.74
2004-05-01,83.01
2004-06-01,83.05
2004-07-01,82.88
2004-08-01,83.04
2004-09-01,83.14
2004-10-01,83.46
2004-11-01,83.4
2004-12-01,83.72
2005-01-01,83.2
2005-02-01,83.5
2005-03-01,84.12
2005-04-01,84.47
2005-05-01,84.66
2005-06-01,84.75
2005-07-01,84.66
2005-08-01,84.86
2005-09-01,85.3
2005-10-01,85.52
2005-11-01,85.33
2005-12-01,85.62
2006-01-01,85.24
2006-02-01,85.48
2006-03-01,85.98
2006-04-01,86.55
2006-05-01,86.79
2006-06-01,86.85
2006-07-01,86.75
2006-08-01,86.83
2006-09-01,86.83
2006-10-01,86.9
2006-11-01,86.94
2006-12-01,87.27
2007-01-01,86.83
2007-02-01,87.08
2007-03-01,87.66
2007-04-01,88.22
2007-05-01,88.43
2007-06-01,88.52
2007-07-01,88.31
2007-08-01,88.37
2007-09-01,88.71
2007-10-01,89.15
2007-11-01,89.63
2007-12-01,89.98
2008-01-01,89.67
2008-02-01,89.98
2008-03-01,90.87
2008-04-01,91.17
2008-05-01,91.74
2008-06-01,92.09
2008-07-01,91.95
2008-08-01,91.82
2008-09-01,92.0
2008-10-01,92.03
2008-11-01,91.59
2008-12-01,91.47
2009-01-01,90.73
2009-02-01,91.1
2009-03-01,91.44
2009-04-01,91.76
2009-05-01,91.8
2009-06-01,91.99
2009-07-01,91.38
2009-08-01,91.69
2009-09-01,91.71
2009-10-01,91.92
2009-11-01,92.02
2009-12-01,92.31
2010-01-01,91.56
2010-02-01,91.85
2010-03-01,92.86
2010-04-01,93.24
2010-05-01,93.35
2010-06-01,93.35
2010-07-01,92.95
2010-08-01,93.13
2010-09-01,93.42
2010-10-01,93.71
2010-11-01,93.79
2010-12-01,94.36
2011-01-01,93.69
2011-02-01,94.08
2011-03-01,95.35
2011-04-01,95.89
2011-05-01,95.9
2011-06-01,95.89
2011-07-01,95.34
2011-08-01,95.52
2011-09-01,96.22
2011-10-01,96.55
2011-11-01,96.64
2011-12-01,96.96
2012-01-01,96.18
2012-02-01,96.66
2012-03-01,97.91
2012-04-01,98.36
2012-05-01,98.23
2012-06-01,98.15
2012-07-01,97.64
2012-08-01,98.02
2012-09-01,98.73
2012-10-01,98.96
2012-11-01,98.76
2012-12-01,99.11
2013-01-01,98.09
2013-02-01,98.45
2013-03-01,99.61
2013-04-01,99.52
2013-05-01,99.63
2013-06-01,99.73
2013-07-01,99.2
2013-08-01,99.32
2013-09-01,99.8
2013-10-01,99.68
2013-11-01,99.6
2013-12-01,99.95
2014-01-01,98.84
2014-02-01,99.14
2014-03-01,100.07
2014-04-01,100.22
2014-05-01,100.11
2014-06-01,100.22
2014-07-01,99.57
2014-08-01,99.68
2014-09-01,100.12
2014-10-01,100.06
2014-11-01,99.88
2014-12-01,99.78
2015-01-01,98.24
2015-02-01,98.85
2015-03-01,100.0
2015-04-01,100.43
2015-05-01,100.71
2015-06-01,100.72
2015-07-01,100.11
2015-08-01,100.12
2015-09-01,100.32
2015-10-01,100.45
2015-11-01,100.01
2015-12-01,100.03
2016-01-01,98.56
2016-02-01,98.73
2016-03-01,99.96
2016-04-01,100.17
2016-05-01,100.59
2016-06-01,100.77
2016-07-01,100.28
2016-08-01,100.34
2016-09-01,100.72
2016-10-01,100.96
2016-11-01,100.6
2016-12-01,101.13
2017-01-01,100.26
2017-02-01,100.66
2017-03-01,101.49
2017-04-01,102.07
2017-05-01,101.98
2017-06-01,102.08
2017-07-01,101.62
2017-08-01,101.89
2017-09-01,102.29
2017-10-01,102.34
2017-11-01,102.14
2017-12-01,102.49
2018-01-01,101.56
2018-02-01,101.78
2018-03-01,102.91
2018-04-01,103.32
2018-05-01,103.97
2018-06-01,104.09
2018-07-01,103.85
2018-08-01,104.01
2018-09-01,104.42
2018-10-01,104.68
2018-11-01,104.1
2018-12-01,104.05
2019-01-01,102.97
2019-02-01,103.3
2019-03-01,104.35
2019-04-01,105.1
2019-05-01,105.24
2019-06-01,105.41
2019-07-01,104.91
2019-08-01,105.06
2019-09-01,105.29
2019-10-01,105.44
2019-11-01,105.1
2019-12-01,105.43
2020-01-01,104.37
2020-02-01,104.56
2020-03-01,105.13
2020-04-01,105.43
2020-05-01,105.33
2020-06-01,105.69
2020-07-01,105.32
2020-08-01,104.88
2020-09-01,104.96
2020-10-01,105.15
2020-11-01,104.8
2020-12-01,105.15
2021-01-01,105.32
