Period\Unit:;[Points ]
2021Mar;3813,2931
2021Feb;3667,1431
2020Dec;3530,9469
2020Nov;3391,7936
2020Oct;3180,3902
2020Sep;3260,7333
2020Aug;3297,6679
2020Jul;3316,2912
2020Jun;3237,3927
2020May;2909,3244
2020Apr;2839,5760
2020Mar;2824,1785
2020Feb;3734,9243
2020Jan;3758,2412
2019Dec;3715,3338
2019Nov;3693,1410
2019Oct;3551,2227
2019Sep;3514,5310
2019Aug;3355,3239
2019Jul;3507,8028
2019Jun;3405,9535
2019May;3385,4121
2019Apr;3458,7648
2019Mar;3332,8554
2019Feb;3223,0709
2019Jan;3088,6544
2018Dec;3057,8389
2018Nov;3186,4039
2018Oct;3244,5498
2018Sep;3365,2269
2018Aug;3436,8280
2018Jul;3460,8867
2018Jun;3442,7680
2018May;3537,0866
2018Apr;3457,6183
2018Mar;3374,2947
2018Feb;3426,7103
2018Jan;3612,1638
2017Dec;3564,6553
2017Nov;3601,4313
2017Oct;3614,7455
2017Sep;3507,1224
2017Aug;3451,3417
2017Jul;3483,8940
2017Jun;3547,8494
2017May;3601,8720
2017Apr;3491,8341
2017Mar;3427,1040
2017Feb;3293,0971
2017Jan;3298,7696
2016Dec;3207,2712
2016Nov;3026,3959
2016Oct;3042,3324
2016Sep;3012,0926
2016Aug;2992,8668
2016Jul;2919,0795
2016Jun;2910,8024
2016May;2983,7033
2016Apr;3031,1839
2016Mar;3031,4185
2016Feb;2862,5877
2016Jan;3030,5048
2015Dec;3288,6340
2015Nov;3439,5713
2015Oct;3275,4787
2015Sep;3165,4608
2015Aug;3444,4059
2015Jul;3545,0976
2015Jun;3521,7748
2015May;3617,8647
2015Apr;3733,8009
2015Mar;3655,3063
2015Feb;3453,7857
2015Jan;3207,2584
2014Dec;3159,7749
2014Nov;3126,1449
2014Oct;3029,5749
2014Sep;3233,3778
2014Aug;3089,0545
2014Jul;3192,3085
2014Jun;3271,6899
2014May;3197,3987
2014Apr;3171,5316
2014Mar;3093,9669
2014Feb;3085,8652
2014Jan;3092,4019
2013Dec;3010,1982
2013Nov;3055,9819
2013Oct;2988,8820
2013Sep;2864,5557
2013Aug;2803,8492
2013Jul;2686,5315
2013Jun;2655,7603
2013May;2785,7691
2013Apr;2636,3469
2013Mar;2680,1790
2013Feb;2630,3974
2013Jan;2715,3045
2012Dec;2625,5536
2012Nov;2513,9832
2012Oct;2503,4688
2012Sep;2530,6890
2012Aug;2424,5009
2012Jul;2258,3579
2012Jun;2152,7450
2012May;2198,5031
2012Apr;2340,7787
2012Mar;2532,1834
2012Feb;2508,2433
2012Jan;2382,0659
2011Dec;2283,2952
2011Nov;2239,5802
2011Oct;2312,2991
2011Sep;2124,3133
2011Aug;2297,2124
2011Jul;2743,4610
2011Jun;2766,6060
2011May;2885,7684
2011Apr;2947,1597
2011Mar;2890,3620
2011Feb;3015,7335
2011Jan;2900,6930
2010Dec;2825,5793
2010Nov;2809,6456
2010Oct;2817,7093
2010Sep;2766,0879
2010Aug;2712,2325
2010Jul;2669,4978
2010Jun;2641,6554
2010May;2642,1311
2010Apr;2937,3015
2010Mar;2890,4663
2010Feb;2727,4831
2010Jan;2922,7227
2009Dec;2907,6464
2009Nov;2843,7717
2009Oct;2865,4845
2009Sep;2827,9335
2009Aug;2702,6529
2009Jul;2462,0957
2009Jun;2449,0250
2009May;2426,6817
2009Apr;2256,2653
2009Mar;1993,9261
2009Feb;2159,8429
2009Jan;2344,9305
2008Dec;2407,0034
2008Nov;2452,8717
2008Oct;2627,2763
2008Sep;3193,7236
2008Aug;3346,0433
2008Jul;3298,6578
2008Jun;3527,8323
2008May;3812,7622
2008Apr;3768,1028
2008Mar;3587,3372
2008Feb;3776,5829
2008Jan;4042,0858
2007Dec;4386,0430
2007Nov;4314,8763
2007Oct;4430,7492
2007Sep;4284,4279
2007Aug;4220,6253
2007Jul;4449,0248
2007Jun;4470,2115
2007May;4444,8279
2007Apr;4330,7465
2007Mar;4070,4696
2007Feb;4230,1978
2007Jan;4157,7874
2006Dec;4070,3543
2006Nov;4052,8034
2006Oct;3975,8366
2006Sep;3817,5700
2006Aug;3743,8631
2006Jul;3617,3305
2006Jun;3528,6559
2006May;3726,8473
2006Apr;3834,6011
2006Mar;3814,9322
2006Feb;3743,7893
2006Jan;3626,9377
2005Dec;3550,0556
2005Nov;3404,8940
2005Oct;3340,0626
2005Sep;3351,8450
2005Aug;3303,3192
2005Jul;3267,1005
2005Jun;3151,6645
2005May;3023,4702
2005Apr;3013,7490
2005Mar;3065,7687
2005Feb;3050,4234
2005Jan;2957,0262
2004Dec;2926,0003
2004Nov;2882,6956
2004Oct;2794,3770
2004Sep;2748,6520
2004Aug;2646,9280
2004Jul;2730,3732
2004Jun;2792,1674
2004May;2728,5880
2004Apr;2860,8652
2004Mar;2829,0044
2004Feb;2874,7639
2004Jan;2839,1245
2003Dec;2702,1682
2003Nov;2618,0584
2003Oct;2523,2700
2003Sep;2553,3121
2003Aug;2524,1213
2003Jul;2459,8475
2003Jun;2443,3273
2003May;2303,0360
2003Apr;2278,2775
2003Mar;2086,4631
2003Feb;2170,8818
2003Jan;2377,3846
2002Dec;2477,0302
2002Nov;2558,9979
2002Oct;2384,7314
2002Sep;2450,1574
2002Aug;2697,4479
2002Jul;2810,6471
2002Jun;3143,1096
2002May;3503,4543
2002Apr;3658,6166
2002Mar;3744,2451
2002Feb;3537,6006
2002Jan;3690,1301
2001Dec;3711,0860
2001Nov;3674,6297
2001Oct;3440,9140
2001Sep;3276,9981
2001Aug;3884,6279
2001Jul;4037,8259
2001Jun;4289,6788
2001May;4481,8667
2001Apr;4307,6380
2001Mar;4199,1586
2001Feb;4525,8688
2001Jan;4729,6529
2000Dec;4787,1351
2000Nov;4962,7177
2000Oct;4893,2429
2000Sep;5132,9133
2000Aug;5151,9600
2000Jul;5227,8216
2000Jun;5275,0648
2000May;5174,7296
2000Apr;5149,1464
2000Mar;5317,0805
2000Feb;5089,7570
2000Jan;4714,7035
1999Dec;4590,1077
1999Nov;4159,9731
1999Oct;3742,6171
1999Sep;3772,7923
1999Aug;3691,3259
1999Jul;3846,2359
1999Jun;3749,4505
1999May;3669,7305
1999Apr;3671,7955
1999Mar;3524,1935
1999Feb;3450,8705
1999Jan;3504,3614
1998Dec;3171,0622
1998Nov;3042,1757
1998Oct;2701,0209
1998Sep;2881,7959
1998Aug;3257,7152
1998Jul;3552,0309
1998Jun;3355,5768
1998May;3312,4486
1998Apr;3239,1395
1998Mar;3029,0236
1998Feb;2762,1255
1998Jan;2572,5223
1997Dec;2474,4478
1997Nov;2367,9425
1997Oct;2510,6970
1997Sep;2511,0314
1997Aug;2564,7790
1997Jul;2567,7387
1997Jun;2350,2319
1997May;2241,6314
1997Apr;2096,5477
1997Mar;2122,8533
1997Feb;2070,8415
1997Jan;1932,3561
1996Dec;1816,1009
1996Nov;1760,7957
1996Oct;1714,0335
1996Sep;1644,4595
1996Aug;1620,2023
1996Jul;1613,7122
1996Jun;1667,2085
1996May;1672,2713
1996Apr;1645,4559
1996Mar;1594,0129
1996Feb;1587,5810
1996Jan;1556,2139
1995Dec;1486,3076
1995Nov;1432,9409
1995Oct;1403,8959
1995Sep;1445,9095
1995Aug;1448,5343
1995Jul;1420,5676
1995Jun;1383,5205
1995May;1379,0235
1995Apr;1324,1225
1995Mar;1295,3839
1995Feb;1328,8460
1995Jan;1306,8732
1994Dec;1319,0968
1994Nov;1320,9995
1994Oct;1300,9290
1994Sep;1341,7732
1994Aug;1374,3030
1994Jul;1328,1029
1994Jun;1324,9873
1994May;1413,6964
1994Apr;1409,0143
1994Mar;1387,0704
1994Feb;1424,0050
1994Jan;1423,2105
1993Dec;1393,6917
1993Nov;1330,5764
1993Oct;1333,0338
1993Sep;1279,5791
1993Aug;1276,8645
1993Jul;1185,1791
1993Jun;1135,9550
1993May;1110,7486
1993Apr;1127,5405
1993Mar;1136,2539
1993Feb;1097,5220
1993Jan;1035,8000
1992Dec;1010,0330
1992Nov;997,6490
1992Oct;962,1082
1992Sep;984,1318
1992Aug;962,7657
1992Jul;1022,8009
1992Jun;1076,7914
1992May;1092,7148
1992Apr;1071,5636
1992Mar;1070,9582
1992Feb;1060,3905
1992Jan;1032,6209
1991Dec;976,9277
1991Nov;1000,2648
1991Oct;998,4839
1991Sep;1011,4910
1991Aug;1001,5645
1991Jul;999,4483
1991Jun;1034,7290
1991May;1018,5626
1991Apr;1000,9218
1991Mar;973,7429
1991Feb;925,1970
1991Jan;850,4470
1990Dec;887,4757
1990Nov;874,4068
1990Oct;892,4457
1990Sep;913,0400
1990Aug;992,5235
1990Jul;1120,0541
1990Jun;1107,3310
1990May;1110,4191
1990Apr;1115,8881
1990Mar;1092,6523
1990Feb;1072,5385
1990Jan;1085,3565
1989Dec;1054,7957
1989Nov;982,9841
1989Oct;1008,3255
1989Sep;1048,3148
1989Aug;1021,5109
1989Jul;978,7657
1989Jun;946,9964
1989May;902,4474
1989Apr;901,6255
1989Mar;874,3404
1989Feb;874,1225
1989Jan;883,0745
1988Dec;842,9536
1988Nov;828,4482
1988Oct;826,4876
1988Sep;787,2532
1988Aug;773,9157
1988Jul;773,7886
1988Jun;748,1391
1988May;696,4391
1988Apr;713,5448
1988Mar;716,6961
1988Feb;679,0167
1988Jan;646,5657
1987Dec;653,3696
1987Nov;672,9633
1987Oct;852,7268
1987Sep;932,2723
1987Aug;952,9005
1987Jul;930,3596
1987Jun;884,0691
1987May;872,0867
1987Apr;888,9836
1987Mar;856,6245
1987Feb;839,7895
1987Jan;877,8641
1986Dec;900,8200
