DATE,QXMN628BIS
1975-01-01,12.5977
1975-04-01,12.8656
1975-07-01,13.0758
1975-10-01,13.2313
1976-01-01,13.5606
1976-04-01,14.3147
1976-07-01,14.8588
1976-10-01,15.2102
1977-01-01,15.5997
1977-04-01,16.2554
1977-07-01,16.8413
1977-10-01,17.2821
1978-01-01,17.7571
1978-04-01,18.3256
1978-07-01,18.8685
1978-10-01,19.4239
1979-01-01,20.2913
1979-04-01,21.035
1979-07-01,21.5098
1979-10-01,21.6247
1980-01-01,22.078
1980-04-01,23.0332
1980-07-01,24.3586
1980-10-01,25.3602
1981-01-01,26.514
1981-04-01,27.3431
1981-07-01,27.468
1981-10-01,27.4512
1982-01-01,27.7601
1982-04-01,28.1218
1982-07-01,28.5953
1982-10-01,28.7868
1983-01-01,29.2806
1983-04-01,29.7095
1983-07-01,30.2363
1983-10-01,30.1006
1984-01-01,30.1439
1984-04-01,30.2989
1984-07-01,30.5652
1984-10-01,30.4786
1985-01-01,30.6487
1985-04-01,30.8365
1985-07-01,31.2692
1985-10-01,31.4058
1986-01-01,31.5113
1986-04-01,31.9885
1986-07-01,32.5713
1986-10-01,32.8932
1987-01-01,33.6071
1987-04-01,34.247
1987-07-01,34.7284
1987-10-01,35.6378
1988-01-01,36.1981
1988-04-01,37.2118
1988-07-01,38.4413
1988-10-01,39.1885
1989-01-01,40.4965
1989-04-01,41.5914
1989-07-01,42.9353
1989-10-01,43.9177
1990-01-01,45.4633
1990-04-01,46.8086
1990-07-01,48.1872
1990-10-01,48.7673
1991-01-01,49.7784
1991-04-01,50.9327
1991-07-01,51.9611
1991-10-01,52.5905
1992-01-01,52.9646
1992-04-01,53.5748
1992-07-01,54.1354
1992-10-01,54.1173
1993-01-01,54.064
1993-04-01,54.7239
1993-07-01,55.3658
1993-10-01,55.3501
1994-01-01,55.2955
1994-04-01,55.6374
1994-07-01,56.2688
1994-10-01,56.0634
1995-01-01,56.0212
1995-04-01,56.3656
1995-07-01,57.1158
1995-10-01,57.0117
1996-01-01,57.1804
1996-04-01,57.4701
1996-07-01,58.1879
1996-10-01,58.2697
1997-01-01,57.7509
1997-04-01,58.6707
1997-07-01,59.1215
1997-10-01,59.3375
1998-01-01,59.0392
1998-04-01,59.7661
1998-07-01,60.6356
1998-10-01,61.0278
1999-01-01,61.4887
1999-04-01,62.3711
1999-07-01,63.7909
1999-10-01,64.1361
2000-01-01,65.241
2000-04-01,66.248
2000-07-01,67.3531
2000-10-01,67.7424
2001-01-01,68.6487
2001-04-01,69.6438
2001-07-01,70.7593
2001-10-01,71.1253
2002-01-01,72.7134
2002-04-01,74.1953
2002-07-01,75.527
2002-10-01,75.9217
2003-01-01,77.1178
2003-04-01,78.5194
2003-07-01,79.8704
2003-10-01,80.6814
2004-01-01,81.6917
2004-04-01,83.5627
2004-07-01,85.3069
2004-10-01,86.5185
2005-01-01,87.9622
2005-04-01,89.6483
2005-07-01,91.3929
2005-10-01,92.597
2006-01-01,93.4926
2006-04-01,95.7322
2006-07-01,97.7337
2006-10-01,98.374
2007-01-01,99.3376
2007-04-01,100.5379
2007-07-01,101.9297
2007-10-01,102.207
2008-01-01,103.0009
2008-04-01,103.5084
2008-07-01,103.3447
2008-10-01,101.8186
2009-01-01,100.2149
2009-04-01,99.0308
2009-07-01,99.0704
2009-10-01,99.1297
2010-01-01,98.826
2010-04-01,99.8343
2010-07-01,100.5292
2010-10-01,100.8104
2011-01-01,100.5716
2011-04-01,101.0487
2011-07-01,101.4071
2011-10-01,100.302
2012-01-01,99.6756
2012-04-01,99.4344
2012-07-01,98.8033
2012-10-01,98.2537
2013-01-01,96.9021
2013-04-01,97.0026
2013-07-01,97.5122
2013-10-01,96.8394
2014-01-01,96.7211
2014-04-01,97.6498
2014-07-01,98.1598
2014-10-01,97.5503
2015-01-01,97.6211
2015-04-01,98.8971
2015-07-01,99.825
2015-10-01,100.1418
2016-01-01,101.0169
2016-04-01,102.5788
2016-07-01,104.1316
2016-10-01,104.6354
2017-01-01,105.3887
2017-04-01,106.9089
2017-07-01,108.5909
2017-10-01,109.4205
2018-01-01,110.4783
2018-04-01,112.0949
2018-07-01,113.9233
2018-10-01,114.6168
2019-01-01,115.0394
2019-04-01,116.9425
2019-07-01,118.5058
2019-10-01,119.4898
2020-01-01,120.78
2020-04-01,122.7731
2020-07-01,124.5303
